
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 358020 = 4d3h27min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 57141

size 150 → 5 pattern
size 151 → 2 pattern
size 152 → 2 pattern
size 153 → 6 pattern
size 154 → 1 pattern
size 155 → 2 pattern
size 156 → 2 pattern
size 157 → 2 pattern
size 158 → 2 pattern
size 159 → 3 pattern
size 160 → 3 pattern
size 162 → 2 pattern
size 163 → 1 pattern
size 165 → 1 pattern
size 166 → 1 pattern
size 168 → 1 pattern
size 171 → 2 pattern
size 172 → 3 pattern
size 173 → 2 pattern
size 176 → 1 pattern
size 177 → 3 pattern
size 178 → 1 pattern
size 179 → 3 pattern
size 180 → 3 pattern
size 182 → 2 pattern
size 183 → 2 pattern
size 184 → 1 pattern
size 185 → 2 pattern
size 186 → 3 pattern
size 187 → 1 pattern
size 188 → 1 pattern
size 189 → 5 pattern
size 191 → 1 pattern
size 192 → 1 pattern
size 193 → 3 pattern
size 194 → 2 pattern
size 196 → 2 pattern
size 199 → 1 pattern
size 200 → 2 pattern
size 201 → 1 pattern
size 202 → 1 pattern
size 203 → 2 pattern
size 205 → 2 pattern
size 206 → 2 pattern
size 207 → 1 pattern
size 208 → 2 pattern
size 209 → 2 pattern
size 210 → 1 pattern
size 216 → 1 pattern
size 218 → 1 pattern
size 221 → 1 pattern
size 222 → 1 pattern
size 224 → 1 pattern
size 225 → 1 pattern
size 226 → 1 pattern
size 227 → 1 pattern
size 228 → 1 pattern
size 229 → 2 pattern
size 231 → 2 pattern
size 232 → 3 pattern
size 234 → 1 pattern
size 235 → 2 pattern
size 236 → 1 pattern
size 237 → 3 pattern
size 238 → 1 pattern
size 241 → 2 pattern
size 243 → 1 pattern
size 244 → 1 pattern
size 246 → 2 pattern
size 247 → 1 pattern
size 248 → 3 pattern
size 249 → 2 pattern
size 251 → 1 pattern
size 253 → 1 pattern
size 255 → 2 pattern
size 258 → 1 pattern
size 260 → 2 pattern
size 261 → 1 pattern
size 262 → 1 pattern
size 263 → 1 pattern
size 264 → 1 pattern
size 265 → 1 pattern
size 266 → 2 pattern
size 268 → 3 pattern
size 274 → 1 pattern
size 276 → 1 pattern
size 277 → 1 pattern
size 279 → 3 pattern
size 281 → 1 pattern
size 283 → 2 pattern
size 284 → 1 pattern
size 289 → 1 pattern
size 290 → 2 pattern
size 292 → 1 pattern
size 293 → 1 pattern
size 295 → 2 pattern
size 296 → 1 pattern
size 297 → 2 pattern
size 299 → 2 pattern
size 300 → 1 pattern
size 302 → 1 pattern
size 303 → 1 pattern
size 306 → 1 pattern
size 310 → 1 pattern
size 312 → 1 pattern
size 316 → 1 pattern
size 318 → 1 pattern
size 319 → 2 pattern
size 320 → 1 pattern
size 325 → 2 pattern
size 327 → 1 pattern
size 337 → 2 pattern
size 338 → 1 pattern
size 341 → 1 pattern
size 343 → 1 pattern
size 346 → 1 pattern
size 347 → 2 pattern
size 348 → 1 pattern
size 352 → 1 pattern
size 354 → 1 pattern
size 355 → 1 pattern
size 356 → 2 pattern
size 365 → 1 pattern
size 366 → 1 pattern
size 367 → 2 pattern
size 371 → 1 pattern
size 372 → 2 pattern
size 376 → 1 pattern
size 377 → 1 pattern
size 379 → 1 pattern
size 380 → 1 pattern
size 384 → 1 pattern
size 387 → 1 pattern
size 388 → 1 pattern
size 389 → 1 pattern
size 391 → 2 pattern
size 392 → 2 pattern
size 393 → 1 pattern
size 397 → 2 pattern
size 399 → 1 pattern
size 402 → 1 pattern
size 404 → 2 pattern
size 405 → 1 pattern
size 409 → 2 pattern
size 411 → 1 pattern
size 414 → 1 pattern
size 415 → 2 pattern
size 416 → 1 pattern
size 418 → 1 pattern
size 419 → 1 pattern
size 423 → 1 pattern
size 437 → 1 pattern
size 438 → 1 pattern
size 439 → 1 pattern
size 447 → 1 pattern
size 449 → 1 pattern
size 453 → 1 pattern
size 459 → 1 pattern
size 463 → 1 pattern
size 481 → 1 pattern
size 489 → 1 pattern
size 493 → 1 pattern
size 497 → 1 pattern
size 502 → 1 pattern
size 503 → 1 pattern
size 507 → 1 pattern
size 519 → 1 pattern
size 521 → 1 pattern
size 525 → 1 pattern
size 536 → 1 pattern
size 538 → 1 pattern
size 539 → 1 pattern
size 540 → 1 pattern
size 546 → 1 pattern
size 555 → 1 pattern
size 564 → 1 pattern
size 572 → 1 pattern
size 575 → 1 pattern
size 577 → 1 pattern
size 582 → 1 pattern
size 585 → 1 pattern
size 590 → 1 pattern
size 594 → 1 pattern
size 596 → 1 pattern
size 606 → 1 pattern
size 619 → 2 pattern
size 627 → 1 pattern
size 641 → 1 pattern
size 647 → 1 pattern
size 652 → 1 pattern
size 662 → 1 pattern
size 669 → 1 pattern
size 670 → 1 pattern
size 671 → 2 pattern
size 678 → 1 pattern
size 686 → 3 pattern
size 688 → 1 pattern
size 703 → 1 pattern
size 712 → 1 pattern
size 723 → 1 pattern
size 730 → 2 pattern
size 732 → 1 pattern
size 733 → 1 pattern
size 741 → 1 pattern
size 744 → 1 pattern
size 751 → 1 pattern
size 782 → 1 pattern
size 783 → 1 pattern
size 784 → 1 pattern
size 798 → 1 pattern
size 827 → 1 pattern
size 836 → 1 pattern
size 854 → 1 pattern
size 859 → 1 pattern
size 866 → 1 pattern
size 887 → 1 pattern
size 891 → 1 pattern
size 914 → 1 pattern
size 943 → 2 pattern
size 967 → 1 pattern
size 968 → 1 pattern
size 970 → 1 pattern
