
=== GRAPH INFO ===
Nodi: 29490
Archi: 259733
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 227659473 = 7y2m2w5d22h44min33s
size 128 → 4 pattern
size 129 → 2 pattern
size 130 → 1 pattern
size 132 → 1 pattern
size 133 → 2 pattern
size 135 → 4 pattern
size 138 → 2 pattern
size 139 → 1 pattern
size 140 → 4 pattern
size 142 → 3 pattern
size 143 → 2 pattern
size 144 → 3 pattern
size 145 → 1 pattern
size 146 → 1 pattern
size 148 → 1 pattern
size 149 → 1 pattern
size 152 → 1 pattern
size 154 → 3 pattern
size 155 → 2 pattern
size 156 → 1 pattern
size 157 → 1 pattern
size 159 → 1 pattern
size 161 → 1 pattern
size 162 → 1 pattern
size 163 → 2 pattern
size 164 → 1 pattern
size 165 → 1 pattern
size 167 → 2 pattern
size 168 → 1 pattern
size 169 → 1 pattern
size 170 → 1 pattern
size 171 → 1 pattern
size 173 → 2 pattern
size 174 → 1 pattern
size 175 → 1 pattern
size 176 → 1 pattern
size 178 → 1 pattern
size 180 → 1 pattern
size 181 → 1 pattern
size 182 → 2 pattern
size 183 → 2 pattern
size 184 → 1 pattern
size 185 → 1 pattern
size 187 → 1 pattern
size 188 → 1 pattern
size 189 → 1 pattern
size 190 → 4 pattern
size 191 → 1 pattern
size 192 → 3 pattern
size 193 → 1 pattern
size 194 → 1 pattern
size 197 → 1 pattern
size 199 → 1 pattern
size 200 → 1 pattern
size 207 → 1 pattern
size 208 → 2 pattern
size 209 → 1 pattern
size 210 → 1 pattern
size 211 → 2 pattern
size 212 → 1 pattern
size 214 → 1 pattern
size 215 → 1 pattern
size 226 → 1 pattern
size 230 → 1 pattern
size 231 → 1 pattern
size 232 → 1 pattern
size 235 → 1 pattern
size 236 → 2 pattern
size 241 → 1 pattern
size 250 → 1 pattern
size 258 → 1 pattern
size 260 → 1 pattern
size 262 → 1 pattern
size 264 → 1 pattern
size 266 → 1 pattern
size 267 → 1 pattern
size 270 → 1 pattern
size 275 → 1 pattern
size 277 → 1 pattern
size 288 → 1 pattern
size 294 → 1 pattern
size 300 → 1 pattern
size 308 → 1 pattern
size 315 → 1 pattern
size 316 → 1 pattern
size 317 → 1 pattern
size 321 → 1 pattern
size 322 → 1 pattern
size 324 → 1 pattern
size 326 → 1 pattern
size 334 → 1 pattern
size 335 → 1 pattern
size 344 → 1 pattern
size 350 → 1 pattern
size 352 → 1 pattern
size 363 → 1 pattern
size 368 → 1 pattern
size 383 → 1 pattern
size 399 → 1 pattern
size 400 → 1 pattern
size 403 → 2 pattern
size 406 → 1 pattern
size 407 → 1 pattern
size 409 → 1 pattern
size 412 → 1 pattern
size 414 → 1 pattern
size 416 → 1 pattern
size 450 → 1 pattern
size 458 → 1 pattern
size 483 → 1 pattern
size 499 → 1 pattern
size 519 → 1 pattern
size 535 → 1 pattern
size 564 → 1 pattern
size 576 → 1 pattern
size 610 → 1 pattern
size 646 → 1 pattern
size 733 → 1 pattern
size 736 → 1 pattern
size 747 → 1 pattern
size 758 → 1 pattern
size 775 → 1 pattern
size 890 → 1 pattern
size 982 → 1 pattern
size 1007 → 1 pattern
size 1110 → 1 pattern
size 1320 → 1 pattern
size 1345 → 1 pattern
size 1353 → 1 pattern
size 1378 → 1 pattern
size 1525 → 1 pattern
size 1659 → 1 pattern
size 1693 → 1 pattern
size 1695 → 1 pattern
size 1721 → 1 pattern
size 1947 → 1 pattern
size 2010 → 1 pattern
size 2499 → 1 pattern
size 2899 → 1 pattern
size 2939 → 1 pattern
size 3010 → 1 pattern
size 3323 → 1 pattern
size 3332 → 1 pattern
size 3549 → 1 pattern
size 3765 → 1 pattern
size 4252 → 1 pattern

=== GiveAndTake Counts by Size (grouped by size) ===
Totale pattern: 8873

size 2 → 7590 pattern
size 4 → 863 pattern
size 6 → 214 pattern
size 8 → 72 pattern
size 10 → 29 pattern
size 12 → 14 pattern
size 14 → 12 pattern
size 16 → 7 pattern
size 18 → 6 pattern
size 20 → 7 pattern
size 22 → 5 pattern
size 24 → 5 pattern
size 26 → 1 pattern
size 28 → 4 pattern
size 30 → 1 pattern
size 32 → 4 pattern
size 34 → 3 pattern
size 36 → 2 pattern
size 38 → 1 pattern
size 40 → 2 pattern
size 42 → 1 pattern
size 46 → 2 pattern
size 48 → 1 pattern
size 54 → 1 pattern
size 56 → 1 pattern
size 60 → 1 pattern
size 62 → 1 pattern
size 64 → 1 pattern
size 66 → 3 pattern
size 72 → 2 pattern
size 76 → 1 pattern
size 78 → 1 pattern
size 80 → 1 pattern
size 86 → 1 pattern
size 92 → 1 pattern
size 100 → 1 pattern
size 108 → 1 pattern
size 130 → 1 pattern
size 148 → 1 pattern
size 160 → 1 pattern
size 164 → 1 pattern
size 168 → 1 pattern
size 224 → 1 pattern
size 246 → 1 pattern
size 328 → 1 pattern
size 348 → 1 pattern
size 734 → 1 pattern

=== ReceiveAndForward Counts by Size (grouped by size) ===
Totale pattern: 15283

size 2 → 13691 pattern
size 4 → 1149 pattern
size 6 → 232 pattern
size 8 → 73 pattern
size 10 → 23 pattern
size 12 → 23 pattern
size 14 → 14 pattern
size 16 → 7 pattern
size 18 → 7 pattern
size 20 → 3 pattern
size 22 → 7 pattern
size 24 → 4 pattern
size 26 → 3 pattern
size 28 → 1 pattern
size 30 → 3 pattern
size 32 → 4 pattern
size 34 → 2 pattern
size 36 → 4 pattern
size 38 → 1 pattern
size 40 → 2 pattern
size 46 → 2 pattern
size 48 → 1 pattern
size 54 → 1 pattern
size 58 → 1 pattern
size 60 → 1 pattern
size 62 → 1 pattern
size 64 → 1 pattern
size 66 → 3 pattern
size 72 → 2 pattern
size 76 → 1 pattern
size 78 → 1 pattern
size 80 → 1 pattern
size 86 → 1 pattern
size 94 → 1 pattern
size 100 → 1 pattern
size 108 → 1 pattern
size 130 → 1 pattern
size 148 → 1 pattern
size 160 → 1 pattern
size 164 → 1 pattern
size 168 → 1 pattern
size 222 → 1 pattern
size 246 → 1 pattern
size 328 → 1 pattern
size 348 → 1 pattern
size 732 → 1 pattern

=== ReceiveAndForwardNFT Counts by Size (grouped by size) ===
Totale pattern: 10255

size 2 → 9278 pattern
size 4 → 681 pattern
size 6 → 150 pattern
size 8 → 57 pattern
size 10 → 26 pattern
size 12 → 16 pattern
size 14 → 11 pattern
size 16 → 4 pattern
size 18 → 8 pattern
size 20 → 5 pattern
size 22 → 6 pattern
size 24 → 2 pattern
size 26 → 2 pattern
size 28 → 1 pattern
size 30 → 3 pattern
size 34 → 1 pattern
size 36 → 2 pattern
size 48 → 1 pattern
size 104 → 1 pattern

=== DATASETNFT INFO ===
NFTs: 32255
Archi: 259733
Delta (sec): 227659473


=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 16151

size 2 → 7406 pattern
size 3 → 3276 pattern
size 4 → 1717 pattern
size 5 → 1087 pattern
size 6 → 739 pattern
size 7 → 499 pattern
size 8 → 400 pattern
size 9 → 236 pattern
size 10 → 178 pattern
size 11 → 113 pattern
size 12 → 90 pattern
size 13 → 51 pattern
size 14 → 43 pattern
size 15 → 30 pattern
size 16 → 32 pattern
size 17 → 24 pattern
size 18 → 12 pattern
size 19 → 14 pattern
size 20 → 10 pattern
size 21 → 3 pattern
size 22 → 6 pattern
size 23 → 4 pattern
size 24 → 3 pattern
size 25 → 4 pattern
size 26 → 3 pattern
size 27 → 2 pattern
size 28 → 1 pattern
size 30 → 1 pattern
size 32 → 1 pattern
size 37 → 1 pattern
size 39 → 1 pattern
size 85 → 1 pattern
size 100 → 11 pattern
size 250 → 1 pattern
size 347 → 1 pattern
size 368 → 1 pattern
size 374 → 1 pattern
size 394 → 1 pattern
size 405 → 1 pattern
size 428 → 1 pattern
size 429 → 1 pattern
size 432 → 1 pattern
size 437 → 1 pattern
size 439 → 1 pattern
size 443 → 1 pattern
size 447 → 1 pattern
size 451 → 1 pattern
size 453 → 1 pattern
size 454 → 1 pattern
size 463 → 1 pattern
size 466 → 2 pattern
size 468 → 2 pattern
size 470 → 1 pattern
size 473 → 1 pattern
size 474 → 1 pattern
size 477 → 1 pattern
size 479 → 2 pattern
size 481 → 1 pattern
size 484 → 1 pattern
size 485 → 1 pattern
size 486 → 1 pattern
size 487 → 1 pattern
size 488 → 3 pattern
size 489 → 1 pattern
size 490 → 3 pattern
size 491 → 2 pattern
size 497 → 1 pattern
size 499 → 1 pattern
size 501 → 1 pattern
size 502 → 1 pattern
size 504 → 1 pattern
size 505 → 2 pattern
size 506 → 2 pattern
size 507 → 1 pattern
size 510 → 1 pattern
size 511 → 3 pattern
size 515 → 1 pattern
size 516 → 2 pattern
size 520 → 1 pattern
size 522 → 1 pattern
size 523 → 1 pattern
size 524 → 1 pattern
size 525 → 2 pattern
size 527 → 1 pattern
size 528 → 1 pattern
size 529 → 1 pattern
size 530 → 5 pattern
size 531 → 3 pattern
size 532 → 1 pattern
size 533 → 1 pattern
size 534 → 3 pattern
size 535 → 1 pattern
size 538 → 1 pattern
size 539 → 1 pattern
size 540 → 1 pattern
size 541 → 1 pattern
size 543 → 1 pattern
size 545 → 2 pattern
size 547 → 1 pattern
size 549 → 1 pattern
size 551 → 1 pattern
size 552 → 1 pattern
size 555 → 2 pattern
size 556 → 1 pattern
size 557 → 1 pattern
size 565 → 1 pattern
size 566 → 1 pattern
size 567 → 2 pattern
size 568 → 1 pattern
size 570 → 1 pattern
size 571 → 2 pattern
size 573 → 1 pattern
size 575 → 1 pattern
size 576 → 2 pattern
size 577 → 1 pattern
size 584 → 1 pattern
size 588 → 1 pattern
size 591 → 2 pattern
size 604 → 1 pattern
size 607 → 1 pattern
size 608 → 2 pattern
size 615 → 1 pattern
size 618 → 1 pattern
size 619 → 1 pattern
size 623 → 1 pattern
size 625 → 2 pattern
size 627 → 1 pattern
size 628 → 1 pattern
size 633 → 2 pattern
size 636 → 1 pattern
size 642 → 1 pattern
size 643 → 1 pattern
size 644 → 1 pattern
size 649 → 1 pattern
size 650 → 1 pattern
size 652 → 2 pattern
size 658 → 1 pattern
size 670 → 1 pattern
size 674 → 3 pattern
size 679 → 2 pattern
size 684 → 1 pattern
size 701 → 1 pattern
size 717 → 1 pattern
size 720 → 1 pattern
size 730 → 1 pattern
size 739 → 1 pattern
size 752 → 1 pattern
size 762 → 1 pattern
size 850 → 1 pattern
size 101528 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 28555

size 2 → 21197 pattern
size 3 → 4735 pattern
size 4 → 1573 pattern
size 5 → 489 pattern
size 6 → 248 pattern
size 7 → 110 pattern
size 8 → 134 pattern
size 9 → 18 pattern
size 10 → 24 pattern
size 11 → 4 pattern
size 12 → 7 pattern
size 13 → 4 pattern
size 14 → 3 pattern
size 15 → 1 pattern
size 17 → 2 pattern
size 18 → 2 pattern
size 24 → 1 pattern
size 25 → 1 pattern
size 27 → 1 pattern
size 37 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 17585

size 2 → 7101 pattern
size 3 → 967 pattern
size 4 → 695 pattern
size 5 → 441 pattern
size 6 → 376 pattern
size 7 → 255 pattern
size 8 → 253 pattern
size 9 → 195 pattern
size 10 → 181 pattern
size 11 → 160 pattern
size 12 → 136 pattern
size 13 → 137 pattern
size 14 → 138 pattern
size 15 → 109 pattern
size 16 → 120 pattern
size 17 → 108 pattern
size 18 → 90 pattern
size 19 → 92 pattern
size 20 → 92 pattern
size 21 → 82 pattern
size 22 → 92 pattern
size 23 → 98 pattern
size 24 → 60 pattern
size 25 → 65 pattern
size 26 → 63 pattern
size 27 → 46 pattern
size 28 → 58 pattern
size 29 → 52 pattern
size 30 → 47 pattern
size 31 → 46 pattern
size 32 → 51 pattern
size 33 → 61 pattern
size 34 → 40 pattern
size 35 → 46 pattern
size 36 → 50 pattern
size 37 → 35 pattern
size 38 → 50 pattern
size 39 → 37 pattern
size 40 → 38 pattern
size 41 → 34 pattern
size 42 → 29 pattern
size 43 → 35 pattern
size 44 → 33 pattern
size 45 → 32 pattern
size 46 → 33 pattern
size 47 → 29 pattern
size 48 → 33 pattern
size 49 → 29 pattern
size 50 → 36 pattern
size 51 → 26 pattern
size 52 → 21 pattern
size 53 → 39 pattern
size 54 → 27 pattern
size 55 → 30 pattern
size 56 → 25 pattern
size 57 → 26 pattern
size 58 → 31 pattern
size 59 → 16 pattern
size 60 → 28 pattern
size 61 → 26 pattern
size 62 → 24 pattern
size 63 → 24 pattern
size 64 → 30 pattern
size 65 → 30 pattern
size 66 → 31 pattern
size 67 → 24 pattern
size 68 → 26 pattern
size 69 → 22 pattern
size 70 → 23 pattern
size 71 → 23 pattern
size 72 → 21 pattern
size 73 → 23 pattern
size 74 → 18 pattern
size 75 → 22 pattern
size 76 → 19 pattern
size 77 → 14 pattern
size 78 → 25 pattern
size 79 → 16 pattern
size 80 → 15 pattern
size 81 → 17 pattern
size 82 → 19 pattern
size 83 → 18 pattern
size 84 → 11 pattern
size 85 → 23 pattern
size 86 → 22 pattern
size 87 → 16 pattern
size 88 → 16 pattern
size 89 → 14 pattern
size 90 → 22 pattern
size 91 → 15 pattern
size 92 → 17 pattern
size 93 → 18 pattern
size 94 → 22 pattern
size 95 → 15 pattern
size 96 → 10 pattern
size 97 → 19 pattern
size 98 → 13 pattern
size 99 → 13 pattern
size 100 → 14 pattern
size 101 → 16 pattern
size 102 → 13 pattern
size 103 → 8 pattern
size 104 → 17 pattern
size 105 → 20 pattern
size 106 → 12 pattern
size 107 → 12 pattern
size 108 → 13 pattern
size 109 → 10 pattern
size 110 → 14 pattern
size 111 → 9 pattern
size 112 → 15 pattern
size 113 → 11 pattern
size 114 → 11 pattern
size 115 → 12 pattern
size 116 → 12 pattern
size 117 → 13 pattern
size 118 → 11 pattern
size 119 → 12 pattern
size 120 → 9 pattern
size 121 → 12 pattern
size 122 → 11 pattern
size 123 → 18 pattern
size 124 → 8 pattern
size 125 → 8 pattern
size 126 → 11 pattern
size 127 → 11 pattern
size 128 → 16 pattern
size 129 → 10 pattern
size 130 → 9 pattern
size 131 → 12 pattern
size 132 → 7 pattern
size 133 → 12 pattern
size 134 → 9 pattern
size 135 → 7 pattern
size 136 → 12 pattern
size 137 → 20 pattern
size 138 → 8 pattern
size 139 → 11 pattern
size 140 → 14 pattern
size 141 → 9 pattern
size 142 → 11 pattern
size 143 → 6 pattern
size 144 → 10 pattern
size 145 → 7 pattern
size 146 → 5 pattern
size 147 → 5 pattern
size 148 → 8 pattern
size 149 → 11 pattern
size 150 → 7 pattern
size 151 → 7 pattern
size 152 → 6 pattern
size 153 → 8 pattern
size 154 → 13 pattern
size 155 → 8 pattern
size 156 → 11 pattern
size 157 → 8 pattern
size 158 → 8 pattern
size 159 → 12 pattern
size 160 → 8 pattern
size 161 → 9 pattern
size 162 → 9 pattern
size 163 → 11 pattern
size 164 → 10 pattern
size 165 → 8 pattern
size 166 → 11 pattern
size 167 → 3 pattern
size 168 → 11 pattern
size 169 → 4 pattern
size 170 → 7 pattern
size 171 → 6 pattern
size 172 → 8 pattern
size 173 → 6 pattern
size 174 → 11 pattern
size 175 → 7 pattern
size 176 → 6 pattern
size 177 → 7 pattern
size 178 → 2 pattern
size 179 → 9 pattern
size 180 → 7 pattern
size 181 → 6 pattern
size 182 → 4 pattern
size 183 → 10 pattern
size 184 → 4 pattern
size 185 → 8 pattern
size 186 → 2 pattern
size 187 → 9 pattern
size 188 → 8 pattern
size 189 → 9 pattern
size 190 → 4 pattern
size 191 → 6 pattern
size 192 → 6 pattern
size 193 → 3 pattern
size 194 → 5 pattern
size 195 → 7 pattern
size 196 → 6 pattern
size 197 → 10 pattern
size 198 → 6 pattern
size 199 → 2 pattern
size 200 → 11 pattern
size 201 → 6 pattern
size 202 → 2 pattern
size 203 → 3 pattern
size 204 → 6 pattern
size 205 → 5 pattern
size 206 → 4 pattern
size 207 → 8 pattern
size 208 → 7 pattern
size 209 → 7 pattern
size 210 → 2 pattern
size 211 → 10 pattern
size 212 → 11 pattern
size 213 → 3 pattern
size 214 → 7 pattern
size 215 → 2 pattern
size 216 → 6 pattern
size 217 → 4 pattern
size 218 → 8 pattern
size 219 → 4 pattern
size 220 → 8 pattern
size 221 → 4 pattern
size 222 → 4 pattern
size 223 → 3 pattern
size 224 → 7 pattern
size 225 → 6 pattern
size 226 → 8 pattern
size 227 → 13 pattern
size 228 → 4 pattern
size 229 → 7 pattern
size 230 → 4 pattern
size 231 → 7 pattern
size 232 → 3 pattern
size 233 → 6 pattern
size 234 → 3 pattern
size 235 → 5 pattern
size 236 → 5 pattern
size 237 → 4 pattern
size 238 → 4 pattern
size 239 → 5 pattern
size 240 → 7 pattern
size 241 → 8 pattern
size 242 → 4 pattern
size 243 → 7 pattern
size 244 → 10 pattern
size 245 → 4 pattern
size 246 → 2 pattern
size 247 → 8 pattern
size 248 → 5 pattern
size 249 → 4 pattern
size 250 → 3 pattern
size 251 → 7 pattern
size 252 → 6 pattern
size 253 → 6 pattern
size 254 → 2 pattern
size 255 → 4 pattern
size 256 → 8 pattern
size 257 → 10 pattern
size 258 → 5 pattern
size 259 → 9 pattern
size 260 → 5 pattern
size 261 → 6 pattern
size 262 → 3 pattern
size 263 → 4 pattern
size 265 → 5 pattern
size 266 → 4 pattern
size 267 → 4 pattern
size 268 → 2 pattern
size 269 → 2 pattern
size 270 → 3 pattern
size 271 → 6 pattern
size 272 → 5 pattern
size 273 → 3 pattern
size 274 → 5 pattern
size 275 → 4 pattern
size 276 → 2 pattern
size 277 → 2 pattern
size 278 → 2 pattern
size 279 → 2 pattern
size 280 → 6 pattern
size 281 → 3 pattern
size 282 → 8 pattern
size 283 → 5 pattern
size 284 → 2 pattern
size 285 → 5 pattern
size 286 → 3 pattern
size 287 → 2 pattern
size 288 → 3 pattern
size 289 → 4 pattern
size 290 → 3 pattern
size 291 → 4 pattern
size 292 → 6 pattern
size 293 → 4 pattern
size 294 → 3 pattern
size 295 → 3 pattern
size 296 → 2 pattern
size 297 → 2 pattern
size 298 → 7 pattern
size 299 → 2 pattern
size 300 → 3 pattern
size 301 → 2 pattern
size 302 → 1 pattern
size 303 → 5 pattern
size 305 → 2 pattern
size 306 → 4 pattern
size 307 → 2 pattern
size 308 → 1 pattern
size 309 → 3 pattern
size 310 → 3 pattern
size 311 → 5 pattern
size 312 → 6 pattern
size 313 → 3 pattern
size 314 → 3 pattern
size 315 → 2 pattern
size 316 → 4 pattern
size 317 → 8 pattern
size 318 → 3 pattern
size 319 → 9 pattern
size 320 → 1 pattern
size 321 → 3 pattern
size 322 → 1 pattern
size 323 → 6 pattern
size 324 → 3 pattern
size 325 → 7 pattern
size 326 → 2 pattern
size 327 → 2 pattern
size 328 → 4 pattern
size 329 → 1 pattern
size 330 → 1 pattern
size 331 → 1 pattern
size 333 → 5 pattern
size 334 → 5 pattern
size 337 → 5 pattern
size 338 → 3 pattern
size 339 → 1 pattern
size 340 → 3 pattern
size 341 → 5 pattern
size 342 → 4 pattern
size 343 → 3 pattern
size 344 → 1 pattern
size 345 → 5 pattern
size 347 → 5 pattern
size 348 → 2 pattern
size 349 → 1 pattern
size 350 → 2 pattern
size 352 → 5 pattern
size 354 → 4 pattern
size 355 → 5 pattern
size 356 → 3 pattern
size 357 → 2 pattern
size 358 → 4 pattern
size 359 → 2 pattern
size 360 → 3 pattern
size 361 → 2 pattern
size 362 → 5 pattern
size 363 → 1 pattern
size 364 → 2 pattern
size 365 → 4 pattern
size 367 → 3 pattern
size 368 → 3 pattern
size 369 → 2 pattern
size 371 → 1 pattern
size 372 → 3 pattern
size 373 → 1 pattern
size 374 → 4 pattern
size 375 → 4 pattern
size 376 → 1 pattern
size 378 → 2 pattern
size 379 → 2 pattern
size 380 → 2 pattern
size 381 → 2 pattern
size 382 → 2 pattern
size 383 → 4 pattern
size 384 → 1 pattern
size 385 → 1 pattern
size 386 → 2 pattern
size 388 → 1 pattern
size 389 → 1 pattern
size 391 → 4 pattern
size 392 → 2 pattern
size 394 → 2 pattern
size 395 → 2 pattern
size 397 → 3 pattern
size 398 → 1 pattern
size 399 → 3 pattern
size 400 → 2 pattern
size 402 → 2 pattern
size 403 → 2 pattern
size 404 → 3 pattern
size 406 → 2 pattern
size 407 → 1 pattern
size 408 → 3 pattern
size 409 → 1 pattern
size 411 → 4 pattern
size 412 → 3 pattern
size 415 → 4 pattern
size 416 → 2 pattern
size 418 → 2 pattern
size 419 → 1 pattern
size 420 → 2 pattern
size 421 → 2 pattern
size 422 → 2 pattern
size 423 → 2 pattern
size 424 → 2 pattern
size 425 → 3 pattern
size 426 → 1 pattern
size 427 → 1 pattern
size 428 → 1 pattern
size 429 → 1 pattern
size 430 → 4 pattern
size 431 → 2 pattern
size 432 → 1 pattern
size 433 → 2 pattern
size 434 → 2 pattern
size 435 → 3 pattern
size 436 → 4 pattern
size 439 → 2 pattern
size 440 → 2 pattern
size 441 → 4 pattern
size 442 → 2 pattern
size 443 → 1 pattern
size 444 → 2 pattern
size 445 → 3 pattern
size 446 → 2 pattern
size 447 → 2 pattern
size 448 → 1 pattern
size 449 → 3 pattern
size 450 → 3 pattern
size 451 → 1 pattern
size 452 → 1 pattern
size 453 → 1 pattern
size 454 → 2 pattern
size 455 → 1 pattern
size 456 → 2 pattern
size 457 → 1 pattern
size 458 → 1 pattern
size 459 → 2 pattern
size 460 → 1 pattern
size 463 → 1 pattern
size 464 → 3 pattern
size 465 → 1 pattern
size 468 → 3 pattern
size 469 → 3 pattern
size 470 → 1 pattern
size 471 → 1 pattern
size 472 → 1 pattern
size 473 → 2 pattern
size 474 → 2 pattern
size 476 → 1 pattern
size 477 → 3 pattern
size 478 → 4 pattern
size 480 → 2 pattern
size 481 → 2 pattern
size 482 → 1 pattern
size 484 → 1 pattern
size 486 → 1 pattern
size 487 → 3 pattern
size 488 → 2 pattern
size 489 → 3 pattern
size 490 → 2 pattern
size 491 → 1 pattern
size 493 → 3 pattern
size 497 → 1 pattern
size 498 → 1 pattern
size 499 → 2 pattern
size 500 → 2 pattern
size 502 → 2 pattern
size 504 → 2 pattern
size 505 → 1 pattern
size 506 → 5 pattern
size 508 → 1 pattern
size 509 → 3 pattern
size 511 → 2 pattern
size 512 → 1 pattern
size 515 → 2 pattern
size 516 → 2 pattern
size 517 → 1 pattern
size 518 → 3 pattern
size 519 → 2 pattern
size 520 → 3 pattern
size 521 → 2 pattern
size 523 → 5 pattern
size 524 → 1 pattern
size 525 → 5 pattern
size 526 → 2 pattern
size 527 → 2 pattern
size 529 → 3 pattern
size 531 → 2 pattern
size 532 → 1 pattern
size 533 → 3 pattern
size 537 → 1 pattern
size 539 → 1 pattern
size 540 → 3 pattern
size 541 → 3 pattern
size 542 → 3 pattern
size 543 → 1 pattern
size 547 → 1 pattern
size 549 → 2 pattern
size 550 → 3 pattern
size 553 → 1 pattern
size 555 → 3 pattern
size 556 → 1 pattern
size 557 → 1 pattern
size 558 → 2 pattern
size 560 → 2 pattern
size 561 → 3 pattern
size 562 → 2 pattern
size 563 → 1 pattern
size 564 → 1 pattern
size 566 → 2 pattern
size 569 → 1 pattern
size 571 → 1 pattern
size 572 → 4 pattern
size 575 → 1 pattern
size 578 → 3 pattern
size 580 → 3 pattern
size 581 → 1 pattern
size 584 → 4 pattern
size 588 → 1 pattern
size 592 → 2 pattern
size 593 → 3 pattern
size 594 → 1 pattern
size 595 → 1 pattern
size 596 → 2 pattern
size 597 → 1 pattern
size 599 → 2 pattern
size 602 → 1 pattern
size 603 → 4 pattern
size 605 → 2 pattern
size 606 → 3 pattern
size 607 → 1 pattern
size 608 → 2 pattern
size 609 → 3 pattern
size 611 → 1 pattern
size 613 → 1 pattern
size 614 → 1 pattern
size 615 → 2 pattern
size 616 → 1 pattern
size 617 → 1 pattern
size 622 → 3 pattern
size 624 → 2 pattern
size 625 → 1 pattern
size 627 → 1 pattern
size 628 → 2 pattern
size 630 → 3 pattern
size 631 → 1 pattern
size 632 → 3 pattern
size 633 → 2 pattern
size 636 → 2 pattern
size 637 → 1 pattern
size 638 → 1 pattern
size 639 → 1 pattern
size 644 → 1 pattern
size 649 → 1 pattern
size 650 → 1 pattern
size 651 → 1 pattern
size 652 → 2 pattern
size 656 → 1 pattern
size 659 → 2 pattern
size 660 → 2 pattern
size 661 → 2 pattern
size 662 → 3 pattern
size 663 → 1 pattern
size 664 → 1 pattern
size 665 → 2 pattern
size 666 → 2 pattern
size 668 → 1 pattern
size 669 → 2 pattern
size 670 → 1 pattern
size 671 → 1 pattern
size 672 → 2 pattern
size 673 → 2 pattern
