
=== GRAPH INFO ===
Nodi: 166197
Archi: 466073
Duration (sec): 152407963 = 4y in interval [1610801512, 1763209475]
Delta (sec): 151237903 = 4y9m2w6d10h31min43s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 54644

size 1055 → 1 pattern
size 1058 → 1 pattern
size 1059 → 2 pattern
size 1060 → 1 pattern
size 1061 → 1 pattern
size 1067 → 1 pattern
size 1069 → 1 pattern
size 1072 → 1 pattern
size 1141 → 1 pattern
size 1157 → 1 pattern
size 1158 → 1 pattern
size 1161 → 1 pattern
size 1259 → 1 pattern
size 1300 → 1 pattern
size 1325 → 1 pattern
size 1414 → 1 pattern
size 1432 → 1 pattern
size 1439 → 1 pattern
size 1447 → 1 pattern
size 1462 → 1 pattern
size 1483 → 1 pattern
size 1505 → 1 pattern
size 1511 → 1 pattern
size 1537 → 1 pattern
size 1542 → 1 pattern
size 1555 → 1 pattern
size 1556 → 1 pattern
size 1592 → 1 pattern
size 1653 → 1 pattern
size 1706 → 1 pattern
size 1752 → 1 pattern
size 1937 → 1 pattern
size 1995 → 1 pattern
size 2133 → 1 pattern
size 2206 → 1 pattern
size 2208 → 1 pattern
size 2217 → 1 pattern
size 2255 → 1 pattern
size 2584 → 1 pattern
size 2658 → 1 pattern
size 2675 → 1 pattern
size 2842 → 1 pattern
size 3328 → 1 pattern
size 5005 → 1 pattern
size 5388 → 1 pattern
size 5475 → 1 pattern
size 5478 → 1 pattern
size 5557 → 1 pattern
size 5595 → 1 pattern
size 5990 → 1 pattern
size 6092 → 1 pattern
size 6094 → 1 pattern
size 6095 → 1 pattern
size 6096 → 1 pattern
size 6097 → 1 pattern
size 6136 → 1 pattern
size 9300 → 1 pattern
size 11035 → 1 pattern
size 11728 → 1 pattern
size 18941 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 12997

size 2 → 12141 pattern
size 3 → 654 pattern
size 4 → 125 pattern
size 5 → 29 pattern
size 6 → 15 pattern
size 7 → 11 pattern
size 8 → 6 pattern
size 10 → 5 pattern
size 11 → 2 pattern
size 12 → 1 pattern
size 15 → 1 pattern
size 16 → 2 pattern
size 17 → 2 pattern
size 18 → 1 pattern
size 19 → 1 pattern
size 42 → 1 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 9276

size 2 → 2071 pattern
size 3 → 602 pattern
size 4 → 390 pattern
size 5 → 299 pattern
size 6 → 229 pattern
size 7 → 181 pattern
size 8 → 128 pattern
size 9 → 119 pattern
size 10 → 115 pattern
size 11 → 94 pattern
size 12 → 111 pattern
size 13 → 88 pattern
size 14 → 68 pattern
size 15 → 87 pattern
size 16 → 61 pattern
size 17 → 65 pattern
size 18 → 71 pattern
size 19 → 56 pattern
size 20 → 36 pattern
size 21 → 48 pattern
size 22 → 47 pattern
size 23 → 44 pattern
size 24 → 43 pattern
size 25 → 36 pattern
size 26 → 45 pattern
size 27 → 43 pattern
size 28 → 29 pattern
size 29 → 32 pattern
size 30 → 35 pattern
size 31 → 31 pattern
size 32 → 31 pattern
size 33 → 35 pattern
size 34 → 19 pattern
size 35 → 28 pattern
size 36 → 19 pattern
size 37 → 27 pattern
size 38 → 22 pattern
size 39 → 20 pattern
size 40 → 26 pattern
size 41 → 26 pattern
size 42 → 27 pattern
size 43 → 20 pattern
size 44 → 24 pattern
size 45 → 22 pattern
size 46 → 15 pattern
size 47 → 17 pattern
size 48 → 12 pattern
size 49 → 16 pattern
size 50 → 19 pattern
size 51 → 16 pattern
size 52 → 20 pattern
size 53 → 10 pattern
size 54 → 13 pattern
size 55 → 17 pattern
size 56 → 10 pattern
size 57 → 15 pattern
size 58 → 20 pattern
size 59 → 9 pattern
size 60 → 15 pattern
size 61 → 12 pattern
size 62 → 7 pattern
size 63 → 11 pattern
size 64 → 7 pattern
size 65 → 12 pattern
size 66 → 9 pattern
size 67 → 14 pattern
size 68 → 14 pattern
size 69 → 12 pattern
size 70 → 9 pattern
size 71 → 17 pattern
size 72 → 15 pattern
size 73 → 11 pattern
size 74 → 9 pattern
size 75 → 8 pattern
size 76 → 8 pattern
size 77 → 11 pattern
size 78 → 8 pattern
size 79 → 6 pattern
size 80 → 6 pattern
size 81 → 7 pattern
size 82 → 10 pattern
size 83 → 10 pattern
size 84 → 6 pattern
size 85 → 11 pattern
size 86 → 10 pattern
size 87 → 8 pattern
size 88 → 11 pattern
size 89 → 11 pattern
size 90 → 8 pattern
size 91 → 7 pattern
size 92 → 9 pattern
size 93 → 7 pattern
size 94 → 10 pattern
size 95 → 10 pattern
size 96 → 12 pattern
size 97 → 14 pattern
size 98 → 12 pattern
size 99 → 11 pattern
size 100 → 9 pattern
size 101 → 6 pattern
size 102 → 9 pattern
size 103 → 10 pattern
size 104 → 5 pattern
size 105 → 7 pattern
size 106 → 3 pattern
size 107 → 5 pattern
size 108 → 12 pattern
size 109 → 10 pattern
size 110 → 5 pattern
size 111 → 8 pattern
size 112 → 5 pattern
size 113 → 4 pattern
size 114 → 4 pattern
size 115 → 7 pattern
size 116 → 7 pattern
size 117 → 4 pattern
size 118 → 4 pattern
size 119 → 4 pattern
size 120 → 9 pattern
size 121 → 7 pattern
size 122 → 1 pattern
size 123 → 4 pattern
size 124 → 4 pattern
size 125 → 2 pattern
size 126 → 10 pattern
size 127 → 9 pattern
size 128 → 5 pattern
size 129 → 2 pattern
size 130 → 7 pattern
size 131 → 6 pattern
size 132 → 10 pattern
size 133 → 3 pattern
size 134 → 9 pattern
size 135 → 4 pattern
size 136 → 6 pattern
size 137 → 5 pattern
size 138 → 9 pattern
size 139 → 5 pattern
size 140 → 9 pattern
size 141 → 6 pattern
size 142 → 5 pattern
size 143 → 7 pattern
size 144 → 5 pattern
size 145 → 4 pattern
size 146 → 5 pattern
size 147 → 2 pattern
size 148 → 5 pattern
size 149 → 5 pattern
size 150 → 4 pattern
size 151 → 4 pattern
size 152 → 4 pattern
size 153 → 6 pattern
size 154 → 2 pattern
size 155 → 4 pattern
size 156 → 8 pattern
size 157 → 7 pattern
size 158 → 9 pattern
size 159 → 4 pattern
size 160 → 3 pattern
size 161 → 3 pattern
size 162 → 2 pattern
size 163 → 3 pattern
size 164 → 6 pattern
size 165 → 4 pattern
size 166 → 6 pattern
size 167 → 1 pattern
size 168 → 8 pattern
size 169 → 2 pattern
size 170 → 6 pattern
size 171 → 1 pattern
size 172 → 5 pattern
size 173 → 7 pattern
size 174 → 5 pattern
size 175 → 6 pattern
size 176 → 4 pattern
size 177 → 2 pattern
size 178 → 6 pattern
size 179 → 5 pattern
size 180 → 5 pattern
size 181 → 2 pattern
size 182 → 5 pattern
size 183 → 2 pattern
size 184 → 5 pattern
size 185 → 2 pattern
size 186 → 5 pattern
size 187 → 2 pattern
size 188 → 1 pattern
size 189 → 5 pattern
size 190 → 5 pattern
size 191 → 3 pattern
size 192 → 2 pattern
size 193 → 7 pattern
size 194 → 6 pattern
size 195 → 4 pattern
size 196 → 4 pattern
size 197 → 2 pattern
size 198 → 1 pattern
size 199 → 3 pattern
size 200 → 4 pattern
size 201 → 3 pattern
size 202 → 10 pattern
size 203 → 3 pattern
size 204 → 2 pattern
size 205 → 2 pattern
size 206 → 8 pattern
size 207 → 7 pattern
size 208 → 1 pattern
size 209 → 3 pattern
size 210 → 2 pattern
size 211 → 3 pattern
size 212 → 2 pattern
size 213 → 2 pattern
size 214 → 2 pattern
size 215 → 4 pattern
size 217 → 5 pattern
size 218 → 4 pattern
size 219 → 5 pattern
size 220 → 4 pattern
size 221 → 2 pattern
size 222 → 4 pattern
size 223 → 6 pattern
size 224 → 2 pattern
size 225 → 4 pattern
size 226 → 1 pattern
size 227 → 2 pattern
size 228 → 6 pattern
size 229 → 2 pattern
size 230 → 9 pattern
size 231 → 2 pattern
size 232 → 2 pattern
size 233 → 4 pattern
size 234 → 3 pattern
size 235 → 2 pattern
size 236 → 3 pattern
size 237 → 3 pattern
size 238 → 2 pattern
size 240 → 3 pattern
size 241 → 4 pattern
size 242 → 5 pattern
size 243 → 4 pattern
size 244 → 3 pattern
size 245 → 3 pattern
size 247 → 6 pattern
size 248 → 3 pattern
size 249 → 4 pattern
size 250 → 3 pattern
size 251 → 4 pattern
size 252 → 5 pattern
size 253 → 1 pattern
size 254 → 3 pattern
size 255 → 5 pattern
size 256 → 4 pattern
size 257 → 1 pattern
size 258 → 4 pattern
size 259 → 3 pattern
size 260 → 1 pattern
size 262 → 3 pattern
size 263 → 2 pattern
size 264 → 4 pattern
size 265 → 2 pattern
size 266 → 3 pattern
size 267 → 6 pattern
size 268 → 2 pattern
size 269 → 5 pattern
size 270 → 2 pattern
size 272 → 7 pattern
size 273 → 3 pattern
size 274 → 3 pattern
size 275 → 2 pattern
size 276 → 3 pattern
size 277 → 3 pattern
size 278 → 3 pattern
size 279 → 1 pattern
size 280 → 4 pattern
size 282 → 3 pattern
size 283 → 6 pattern
size 284 → 2 pattern
size 285 → 2 pattern
size 286 → 2 pattern
size 287 → 4 pattern
size 288 → 1 pattern
size 290 → 3 pattern
size 291 → 3 pattern
size 292 → 1 pattern
size 293 → 1 pattern
size 294 → 4 pattern
size 295 → 3 pattern
size 296 → 5 pattern
size 297 → 5 pattern
size 298 → 1 pattern
size 299 → 8 pattern
size 300 → 3 pattern
size 301 → 1 pattern
size 304 → 1 pattern
size 305 → 5 pattern
size 306 → 3 pattern
size 307 → 1 pattern
size 308 → 2 pattern
size 309 → 2 pattern
size 310 → 1 pattern
size 311 → 2 pattern
size 313 → 4 pattern
size 315 → 2 pattern
size 316 → 4 pattern
size 317 → 2 pattern
size 318 → 2 pattern
size 319 → 2 pattern
size 320 → 3 pattern
size 321 → 3 pattern
size 322 → 1 pattern
size 323 → 1 pattern
size 324 → 3 pattern
size 325 → 2 pattern
size 327 → 1 pattern
size 328 → 1 pattern
size 329 → 2 pattern
size 330 → 1 pattern
size 331 → 5 pattern
size 332 → 4 pattern
size 333 → 2 pattern
size 334 → 4 pattern
size 335 → 1 pattern
size 336 → 3 pattern
size 337 → 3 pattern
size 338 → 1 pattern
size 339 → 3 pattern
size 340 → 3 pattern
size 341 → 1 pattern
size 343 → 2 pattern
size 344 → 1 pattern
size 345 → 2 pattern
size 346 → 1 pattern
size 348 → 2 pattern
size 350 → 2 pattern
size 351 → 2 pattern
size 352 → 1 pattern
size 353 → 1 pattern
size 354 → 2 pattern
size 355 → 1 pattern
size 356 → 2 pattern
size 357 → 5 pattern
size 358 → 3 pattern
size 359 → 1 pattern
size 360 → 4 pattern
size 361 → 1 pattern
size 362 → 2 pattern
size 365 → 3 pattern
size 366 → 1 pattern
size 367 → 3 pattern
size 369 → 5 pattern
size 370 → 2 pattern
size 371 → 3 pattern
size 372 → 5 pattern
size 373 → 6 pattern
size 374 → 3 pattern
size 375 → 1 pattern
size 376 → 2 pattern
size 377 → 2 pattern
size 378 → 1 pattern
size 379 → 3 pattern
size 380 → 5 pattern
size 381 → 4 pattern
size 382 → 2 pattern
size 383 → 1 pattern
size 384 → 4 pattern
size 385 → 5 pattern
size 386 → 3 pattern
size 387 → 1 pattern
size 388 → 1 pattern
size 389 → 4 pattern
size 390 → 2 pattern
size 391 → 1 pattern
size 392 → 1 pattern
size 393 → 1 pattern
size 394 → 1 pattern
size 395 → 1 pattern
size 397 → 1 pattern
size 399 → 1 pattern
size 400 → 2 pattern
size 401 → 2 pattern
size 402 → 3 pattern
size 403 → 2 pattern
size 404 → 3 pattern
size 407 → 1 pattern
size 408 → 2 pattern
size 409 → 2 pattern
size 410 → 1 pattern
size 411 → 2 pattern
size 413 → 1 pattern
size 415 → 2 pattern
size 416 → 1 pattern
size 417 → 2 pattern
size 418 → 3 pattern
size 419 → 1 pattern
size 420 → 1 pattern
size 422 → 1 pattern
size 423 → 1 pattern
size 425 → 2 pattern
size 426 → 1 pattern
size 427 → 2 pattern
size 428 → 3 pattern
size 429 → 1 pattern
size 430 → 1 pattern
size 431 → 3 pattern
size 432 → 3 pattern
size 433 → 3 pattern
size 434 → 1 pattern
size 435 → 2 pattern
size 436 → 1 pattern
size 437 → 2 pattern
size 438 → 2 pattern
