
=== GRAPH INFO ===
Nodi: 46225
Archi: 254531
Duration (sec): 89795761 = 2y in interval [1616822398, 1706618159]
Delta (sec): 89795761 = 2y10m1w2d7h16min1s


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 22527

size 553 → 1 pattern
size 555 → 1 pattern
size 556 → 1 pattern
size 560 → 1 pattern
size 563 → 1 pattern
size 566 → 1 pattern
size 567 → 1 pattern
size 568 → 1 pattern
size 570 → 1 pattern
size 571 → 1 pattern
size 572 → 2 pattern
size 576 → 2 pattern
size 579 → 1 pattern
size 582 → 1 pattern
size 584 → 1 pattern
size 588 → 2 pattern
size 589 → 1 pattern
size 592 → 1 pattern
size 593 → 1 pattern
size 597 → 1 pattern
size 600 → 1 pattern
size 601 → 1 pattern
size 603 → 1 pattern
size 607 → 1 pattern
size 608 → 2 pattern
size 609 → 1 pattern
size 611 → 1 pattern
size 613 → 1 pattern
size 618 → 1 pattern
size 621 → 1 pattern
size 627 → 1 pattern
size 628 → 2 pattern
size 634 → 1 pattern
size 635 → 1 pattern
size 637 → 2 pattern
size 640 → 1 pattern
size 641 → 2 pattern
size 643 → 2 pattern
size 647 → 2 pattern
size 650 → 1 pattern
size 652 → 1 pattern
size 656 → 1 pattern
size 660 → 1 pattern
size 664 → 1 pattern
size 665 → 1 pattern
size 667 → 1 pattern
size 669 → 1 pattern
size 670 → 1 pattern
size 675 → 1 pattern
size 676 → 1 pattern
size 677 → 1 pattern
size 678 → 1 pattern
size 682 → 1 pattern
size 684 → 1 pattern
size 687 → 2 pattern
size 691 → 3 pattern
size 692 → 2 pattern
size 699 → 2 pattern
size 702 → 1 pattern
size 703 → 1 pattern
size 709 → 1 pattern
size 710 → 1 pattern
size 712 → 1 pattern
size 714 → 1 pattern
size 716 → 1 pattern
size 721 → 2 pattern
size 726 → 1 pattern
size 729 → 1 pattern
size 730 → 1 pattern
size 737 → 1 pattern
size 742 → 1 pattern
size 745 → 2 pattern
size 751 → 1 pattern
size 752 → 1 pattern
size 760 → 1 pattern
size 763 → 2 pattern
size 765 → 1 pattern
size 782 → 1 pattern
size 783 → 1 pattern
size 785 → 1 pattern
size 788 → 1 pattern
size 794 → 1 pattern
size 800 → 1 pattern
size 805 → 1 pattern
size 826 → 1 pattern
size 836 → 1 pattern
size 839 → 1 pattern
size 846 → 2 pattern
size 852 → 1 pattern
size 858 → 1 pattern
size 866 → 1 pattern
size 870 → 1 pattern
size 876 → 1 pattern
size 883 → 1 pattern
size 891 → 1 pattern
size 893 → 1 pattern
size 895 → 1 pattern
size 904 → 1 pattern
size 975 → 1 pattern
size 1017 → 1 pattern
size 1020 → 1 pattern
size 1044 → 1 pattern
size 1050 → 1 pattern
size 1059 → 1 pattern
size 1081 → 1 pattern
size 1099 → 1 pattern
size 1119 → 1 pattern
size 1152 → 1 pattern
size 1183 → 1 pattern
size 1197 → 1 pattern
size 1201 → 1 pattern
size 1206 → 1 pattern
size 1227 → 2 pattern
size 1246 → 1 pattern
size 1249 → 1 pattern
size 1261 → 1 pattern
size 1262 → 1 pattern
size 1267 → 1 pattern
size 1270 → 1 pattern
size 1302 → 1 pattern
size 1305 → 1 pattern
size 1308 → 1 pattern
size 1318 → 1 pattern
size 1343 → 1 pattern
size 1347 → 1 pattern
size 1363 → 1 pattern
size 1372 → 1 pattern
size 1377 → 1 pattern
size 1388 → 1 pattern
size 1397 → 1 pattern
size 1439 → 1 pattern
size 1570 → 1 pattern
size 1644 → 1 pattern
size 1735 → 1 pattern
size 1979 → 1 pattern
size 1987 → 1 pattern
size 2012 → 1 pattern
size 2050 → 1 pattern
size 2133 → 1 pattern
size 2180 → 1 pattern
size 2381 → 1 pattern
Contiguous

=== SameNFTChain Counts by Size (grouped by size) ===
Totale pattern: 2106

size 2 → 2056 pattern
size 3 → 36 pattern
size 4 → 2 pattern
size 5 → 2 pattern
size 6 → 6 pattern
size 7 → 1 pattern
size 10 → 1 pattern
size 12 → 2 pattern

=== SameNFTCycle Counts by Size (grouped by size) ===
Totale pattern: 8022

size 2 → 959 pattern
size 3 → 347 pattern
size 4 → 255 pattern
size 5 → 228 pattern
size 6 → 183 pattern
size 7 → 179 pattern
size 8 → 127 pattern
size 9 → 120 pattern
size 10 → 123 pattern
size 11 → 112 pattern
size 12 → 74 pattern
size 13 → 85 pattern
size 14 → 87 pattern
size 15 → 67 pattern
size 16 → 83 pattern
size 17 → 48 pattern
size 18 → 61 pattern
size 19 → 54 pattern
size 20 → 60 pattern
size 21 → 54 pattern
size 22 → 47 pattern
size 23 → 43 pattern
size 24 → 57 pattern
size 25 → 51 pattern
size 26 → 49 pattern
size 27 → 64 pattern
size 28 → 55 pattern
size 29 → 36 pattern
size 30 → 41 pattern
size 31 → 51 pattern
size 32 → 41 pattern
size 33 → 34 pattern
size 34 → 41 pattern
size 35 → 36 pattern
size 36 → 26 pattern
size 37 → 41 pattern
size 38 → 34 pattern
size 39 → 45 pattern
size 40 → 42 pattern
size 41 → 30 pattern
size 42 → 42 pattern
size 43 → 28 pattern
size 44 → 23 pattern
size 45 → 30 pattern
size 46 → 33 pattern
size 47 → 33 pattern
size 48 → 32 pattern
size 49 → 27 pattern
size 50 → 33 pattern
size 51 → 37 pattern
size 52 → 29 pattern
size 53 → 37 pattern
size 54 → 38 pattern
size 55 → 26 pattern
size 56 → 21 pattern
size 57 → 30 pattern
size 58 → 28 pattern
size 59 → 29 pattern
size 60 → 28 pattern
size 61 → 33 pattern
size 62 → 26 pattern
size 63 → 29 pattern
size 64 → 16 pattern
size 65 → 27 pattern
size 66 → 23 pattern
size 67 → 27 pattern
size 68 → 30 pattern
size 69 → 25 pattern
size 70 → 29 pattern
size 71 → 25 pattern
size 72 → 20 pattern
size 73 → 24 pattern
size 74 → 27 pattern
size 75 → 18 pattern
size 76 → 25 pattern
size 77 → 17 pattern
size 78 → 20 pattern
size 79 → 27 pattern
size 80 → 15 pattern
size 81 → 24 pattern
size 82 → 23 pattern
size 83 → 16 pattern
size 84 → 13 pattern
size 85 → 22 pattern
size 86 → 20 pattern
size 87 → 23 pattern
size 88 → 15 pattern
size 89 → 18 pattern
size 90 → 16 pattern
size 91 → 18 pattern
size 92 → 15 pattern
size 93 → 17 pattern
size 94 → 16 pattern
size 95 → 22 pattern
size 96 → 18 pattern
size 97 → 15 pattern
size 98 → 13 pattern
size 99 → 19 pattern
size 100 → 21 pattern
size 101 → 14 pattern
size 102 → 18 pattern
size 103 → 16 pattern
size 104 → 9 pattern
size 105 → 21 pattern
size 106 → 12 pattern
size 107 → 15 pattern
size 108 → 13 pattern
size 109 → 17 pattern
size 110 → 15 pattern
size 111 → 14 pattern
size 112 → 16 pattern
